################################################
# A 3-D crustal shear wave velocity model in the Banda Arc collision zone from ambient noise tomography
# Please cite the original work behind this Earth model in the following:
# Zhang, P., and Miller, M.S., (2020) Seismic imaging of the subducted Australian Continental Margin beneath Timor and the Banda Arc collision zone, Accepted by GRL on November 24, 2020
####
# longitude	latitude	depth(km)	Vsv(km/s)
  117.500   -7.500    0.000    3.000
  117.500   -7.750    0.000    3.000
  117.500   -8.000    0.000    3.000
  117.500   -8.250    0.000    3.000
  117.500   -8.500    0.000    3.000
  117.500   -8.750    0.000    3.000
  117.500   -9.000    0.000    3.000
  117.500   -9.250    0.000    3.000
  117.500   -9.500    0.000    3.000
  117.500   -9.750    0.000    3.000
  117.500  -10.000    0.000    3.000
  117.500  -10.250    0.000    3.000
  117.500  -10.500    0.000    3.000
  117.500  -10.750    0.000    3.000
  117.500  -11.000    0.000    3.000
  117.500  -11.250    0.000    3.000
  117.750   -7.500    0.000    3.000
  117.750   -7.750    0.000    2.999
  117.750   -8.000    0.000    3.001
  117.750   -8.250    0.000    3.007
  117.750   -8.500    0.000    3.019
  117.750   -8.750    0.000    3.036
  117.750   -9.000    0.000    3.018
  117.750   -9.250    0.000    3.007
  117.750   -9.500    0.000    3.003
  117.750   -9.750    0.000    3.001
  117.750  -10.000    0.000    3.000
  117.750  -10.250    0.000    3.000
  117.750  -10.500    0.000    3.000
  117.750  -10.750    0.000    3.000
  117.750  -11.000    0.000    3.000
  117.750  -11.250    0.000    3.000
  118.000   -7.500    0.000    3.000
  118.000   -7.750    0.000    2.998
  118.000   -8.000    0.000    3.002
  118.000   -8.250    0.000    3.014
  118.000   -8.500    0.000    3.043
  118.000   -8.750    0.000    3.076
  118.000   -9.000    0.000    3.026
  118.000   -9.250    0.000    3.010
  118.000   -9.500    0.000    3.003
  118.000   -9.750    0.000    3.000
  118.000  -10.000    0.000    2.999
  118.000  -10.250    0.000    3.000
  118.000  -10.500    0.000    3.000
  118.000  -10.750    0.000    3.000
  118.000  -11.000    0.000    3.000
  118.000  -11.250    0.000    3.000
  118.250   -7.500    0.000    3.000
  118.250   -7.750    0.000    2.997
  118.250   -8.000    0.000    3.002
  118.250   -8.250    0.000    3.018
  118.250   -8.500    0.000    3.064
  118.250   -8.750    0.000    3.079
  118.250   -9.000    0.000    3.011
  118.250   -9.250    0.000    3.005
  118.250   -9.500    0.000    3.001
  118.250   -9.750    0.000    2.998
  118.250  -10.000    0.000    2.998
  118.250  -10.250    0.000    2.999
  118.250  -10.500    0.000    3.000
  118.250  -10.750    0.000    3.000
  118.250  -11.000    0.000    3.000
  118.250  -11.250    0.000    3.000
  118.500   -7.500    0.000    3.000
  118.500   -7.750    0.000    2.996
  118.500   -8.000    0.000    3.002
  118.500   -8.250    0.000    3.023
  118.500   -8.500    0.000    3.082
  118.500   -8.750    0.000    3.070
  118.500   -9.000    0.000    2.999
  118.500   -9.250    0.000    2.996
  118.500   -9.500    0.000    2.998
  118.500   -9.750    0.000    2.997
  118.500  -10.000    0.000    2.996
  118.500  -10.250    0.000    2.997
  118.500  -10.500    0.000    2.999
  118.500  -10.750    0.000    3.000
  118.500  -11.000    0.000    3.000
  118.500  -11.250    0.000    3.000
  118.750   -7.500    0.000    3.000
  118.750   -7.750    0.000    2.995
  118.750   -8.000    0.000    3.004
  118.750   -8.250    0.000    3.029
  118.750   -8.500    0.000    3.098
  118.750   -8.750    0.000    3.058
  118.750   -9.000    0.000    2.996
  118.750   -9.250    0.000    2.988
  118.750   -9.500    0.000    2.997
  118.750   -9.750    0.000    2.997
  118.750  -10.000    0.000    2.996
  118.750  -10.250    0.000    2.996
  118.750  -10.500    0.000    2.997
  118.750  -10.750    0.000    2.999
  118.750  -11.000    0.000    3.000
  118.750  -11.250    0.000    3.000
